Symbol,Type,Rows,Features,Date_Start,Date_End
AXP,Bank,326,58,2025-07-17 14:00:00,2025-08-14 19:00:00
BAC,Bank,326,58,2025-07-17 14:00:00,2025-08-14 19:00:00
BLK,Bank,326,58,2025-07-17 14:00:00,2025-08-14 19:00:00
C,Bank,326,58,2025-07-17 14:00:00,2025-08-14 19:00:00
COF,Bank,313,58,2025-07-17 14:00:00,2025-08-14 19:00:00
DXY,Macro,1418,24,2025-05-20 07:00:00-04:00,2025-08-15 16:00:00-04:00
GS,Bank,326,58,2025-07-17 14:00:00,2025-08-14 19:00:00
IYF,Macro,413,25,2025-05-21 12:30:00-04:00,2025-08-15 15:30:00-04:00
JPM,Bank,326,58,2025-07-17 14:00:00,2025-08-14 19:00:00
MS,Bank,321,58,2025-07-17 14:00:00,2025-08-14 19:00:00
PNC,Bank,285,58,2025-07-17 15:00:00,2025-08-14 19:00:00
SHY,Macro,413,25,2025-05-21 12:30:00-04:00,2025-08-15 15:30:00-04:00
SPX,Macro,413,24,2025-05-21 12:30:00-04:00,2025-08-15 15:30:00-04:00
TFC,Bank,282,58,2025-07-17 17:00:00,2025-08-14 19:00:00
TLT,Macro,413,25,2025-05-21 12:30:00-04:00,2025-08-15 15:30:00-04:00
TNX,Macro,417,24,2025-05-21 10:20:00-05:00,2025-08-15 13:20:00-05:00
USB,Bank,301,58,2025-07-17 14:00:00,2025-08-14 19:00:00
VFH,Macro,413,25,2025-05-21 12:30:00-04:00,2025-08-15 15:30:00-04:00
VIX,Macro,270,24,2025-07-21 12:00:00-05:00,2025-08-15 15:00:00-05:00
WFC,Bank,324,58,2025-07-17 14:00:00,2025-08-14 19:00:00
XLF,Macro,347,22,2025-07-17 14:00:00,2025-08-14 20:00:00
